101,Hound of the baskerville,Conan Doyle
1329,Dracula,Bram Stoker
1330,The Divine Comedy,Dante Alighieri
1331,The Count of Monte Cristo,Alexandre Dumas
1332,Anna Karenina,Leo Tolstoy
1333,War and Peace,Leo Tolstoy
1334,Catch-22,Joseph Heller
1335,Fahrenheit 451,Ray Bradbury
1336,The Brothers Karamazov,Fyodor Dostoevsky
1337,Ulysses,James Joyce
1338,One Hundred Years of Solitude,Gabriel Garcia Marquez
1339,Gone with the Wind,Margaret Mitchell
1340,Catch-22,Joseph Heller
1341,Frankenstein,Mary Shelley
1342,Fahrenheit 451,Ray Bradbury
1343,Dracula,Bram Stoker
1344,Dracula,Bram Stoker
1345,The Stranger,Albert Camus
1346,A Tale of Two Cities,Charles Dickens
1347,The Sound and the Fury,William Faulkner
1348,Ulysses,James Joyce
1349,The Odyssey,Homer
1350,The Divine Comedy,Dante Alighieri
1351,Great Expectations,Charles Dickens
1352,The Count of Monte Cristo,Alexandre Dumas
1353,The Grapes of Wrath,John Steinbeck
1354,Moby Dick,Herman Melville
1355,Anna Karenina,Leo Tolstoy
1356,Les Misérables,Victor Hugo
1357,The Sound and the Fury,William Faulkner
1358,A Christmas Carol,Charles Dickens
1359,The Sound and the Fury,William Faulkner
1360,The Shining,Stephen King
1361,Great Expectations,Charles Dickens
1362,The Hobbit,J.R.R. Tolkien
1363,A Christmas Carol,Charles Dickens
1364,Dracula,Bram Stoker
1365,The Catcher in the Rye,J.D. Salinger
1366,A Tale of Two Cities,Charles Dickens
1367,Don Quixote,Miguel de Cervantes
1368,A Christmas Carol,Charles Dickens
1369,War and Peace,Leo Tolstoy
1370,The Divine Comedy,Dante Alighieri
1371,Dracula,Bram Stoker
1372,The Alchemist,Paulo Coelho
1373,The Picture of Dorian Gray,Oscar Wilde
1374,Gone with the Wind,Margaret Mitchell
1375,The Sound and the Fury,William Faulkner
1376,The Hobbit,J.R.R. Tolkien
1377,The Catcher in the Rye,J.D. Salinger
1378,The Catcher in the Rye,J.D. Salinger
1379,The Shining,Stephen King
1380,Brave New World,Aldous Huxley
1381,Jane Eyre,Charlotte Brontë
1382,Jane Eyre,Charlotte Brontë
1383,Moby Dick,Herman Melville
1384,The Shining,Stephen King
1385,Pride and Prejudice,Jane Austen
1386,Anna Karenina,Leo Tolstoy
1387,The Lord of the Rings,J.R.R. Tolkien
1388,The Shining,Stephen King
1389,Les Misérables,Victor Hugo
1390,The Shining,Stephen King
1391,Dracula,Bram Stoker
1392,The Count of Monte Cristo,Alexandre Dumas
1393,A Christmas Carol,Charles Dickens
1394,The Brothers Karamazov,Fyodor Dostoevsky
1395,The Picture of Dorian Gray,Oscar Wilde
1396,Brave New World,Aldous Huxley
1397,Gone with the Wind,Margaret Mitchell
1398,The Stranger,Albert Camus
1399,Ulysses,James Joyce
1400,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1401,The Lord of the Rings,J.R.R. Tolkien
1402,Les Misérables,Victor Hugo
1403,War and Peace,Leo Tolstoy
1404,The Sun Also Rises,Ernest Hemingway
1405,Frankenstein,Mary Shelley
1406,The Sound and the Fury,William Faulkner
1407,Jane Eyre,Charlotte Brontë
1408,Jane Eyre,Charlotte Brontë
1409,Great Expectations,Charles Dickens
1410,Wuthering Heights,Emily Brontë
1411,Catch-22,Joseph Heller
1412,War and Peace,Leo Tolstoy
1413,A Christmas Carol,Charles Dickens
1414,The Catcher in the Rye,J.D. Salinger
1415,One Hundred Years of Solitude,Gabriel Garcia Marquez
1416,Jane Eyre,Charlotte Brontë
1417,Dracula,Bram Stoker
1418,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1419,The Sun Also Rises,Ernest Hemingway
1420,The Secret Garden,Frances Hodgson Burnett
1421,The Grapes of Wrath,John Steinbeck
1422,Ulysses,James Joyce
1423,The Shining,Stephen King
1424,The Stranger,Albert Camus
1425,A Tale of Two Cities,Charles Dickens
1426,The Alchemist,Paulo Coelho
1427,Crime and Punishment,Fyodor Dostoevsky
1428,War and Peace,Leo Tolstoy
1429,The Sound and the Fury,William Faulkner
1430,A Christmas Carol,Charles Dickens
1431,The Brothers Karamazov,Fyodor Dostoevsky
1432,War and Peace,Leo Tolstoy
1433,War and Peace,Leo Tolstoy
1434,The Sound and the Fury,William Faulkner
1435,The Catcher in the Rye,J.D. Salinger
1436,Frankenstein,Mary Shelley
1437,The Hobbit,J.R.R. Tolkien
1438,The Sun Also Rises,Ernest Hemingway
1439,The Alchemist,Paulo Coelho
1440,Fahrenheit 451,Ray Bradbury
1441,The Shining,Stephen King
1442,The Count of Monte Cristo,Alexandre Dumas
1443,Pride and Prejudice,Jane Austen
1444,Frankenstein,Mary Shelley
1445,The Sun Also Rises,Ernest Hemingway
1446,The Brothers Karamazov,Fyodor Dostoevsky
1447,Don Quixote,Miguel de Cervantes
1448,The Hobbit,J.R.R. Tolkien
1449,The Alchemist,Paulo Coelho
1450,The Sun Also Rises,Ernest Hemingway
1451,A Christmas Carol,Charles Dickens
1452,Gone with the Wind,Margaret Mitchell
1453,One Hundred Years of Solitude,Gabriel Garcia Marquez
1454,Anna Karenina,Leo Tolstoy
1455,Anna Karenina,Leo Tolstoy
1456,Anna Karenina,Leo Tolstoy
1457,Gone with the Wind,Margaret Mitchell
1458,Les Misérables,Victor Hugo
1459,Anna Karenina,Leo Tolstoy
1460,The Picture of Dorian Gray,Oscar Wilde
1461,Dracula,Bram Stoker
1462,Les Misérables,Victor Hugo
1463,Dracula,Bram Stoker
1464,Ulysses,James Joyce
1465,The Lord of the Rings,J.R.R. Tolkien
1466,The Brothers Karamazov,Fyodor Dostoevsky
1467,Dracula,Bram Stoker
1468,Crime and Punishment,Fyodor Dostoevsky
1469,The Grapes of Wrath,John Steinbeck
1470,Dracula,Bram Stoker
1471,Les Misérables,Victor Hugo
1472,A Tale of Two Cities,Charles Dickens
1473,One Hundred Years of Solitude,Gabriel Garcia Marquez
1474,The Grapes of Wrath,John Steinbeck
1475,Pride and Prejudice,Jane Austen
1476,The Brothers Karamazov,Fyodor Dostoevsky
1477,The Odyssey,Homer
1478,Pride and Prejudice,Jane Austen
1479,The Stranger,Albert Camus
1480,Moby Dick,Herman Melville
1481,Moby Dick,Herman Melville
1482,The Shining,Stephen King
1483,The Hobbit,J.R.R. Tolkien
1484,The Hobbit,J.R.R. Tolkien
1485,Brave New World,Aldous Huxley
1486,Moby Dick,Herman Melville
1487,War and Peace,Leo Tolstoy
1488,Gone with the Wind,Margaret Mitchell
1489,The Catcher in the Rye,J.D. Salinger
1490,The Count of Monte Cristo,Alexandre Dumas
1491,The Alchemist,Paulo Coelho
1492,Anna Karenina,Leo Tolstoy
1493,The Grapes of Wrath,John Steinbeck
1494,Catch-22,Joseph Heller
1495,The Hobbit,J.R.R. Tolkien
1496,Catch-22,Joseph Heller
1497,The Sun Also Rises,Ernest Hemingway
1498,The Brothers Karamazov,Fyodor Dostoevsky
1499,Fahrenheit 451,Ray Bradbury
1500,The Secret Garden,Frances Hodgson Burnett
1501,The Picture of Dorian Gray,Oscar Wilde
1502,War and Peace,Leo Tolstoy
1503,One Hundred Years of Solitude,Gabriel Garcia Marquez
1504,Jane Eyre,Charlotte Brontë
1505,Frankenstein,Mary Shelley
1506,One Hundred Years of Solitude,Gabriel Garcia Marquez
1507,The Stranger,Albert Camus
1508,The Odyssey,Homer
1509,The Brothers Karamazov,Fyodor Dostoevsky
1510,The Catcher in the Rye,J.D. Salinger
1511,Catch-22,Joseph Heller
1512,War and Peace,Leo Tolstoy
1513,The Divine Comedy,Dante Alighieri
1514,The Grapes of Wrath,John Steinbeck
1515,The Alchemist,Paulo Coelho
1516,Jane Eyre,Charlotte Brontë
1517,The Picture of Dorian Gray,Oscar Wilde
1518,Catch-22,Joseph Heller
1519,The Alchemist,Paulo Coelho
1520,The Grapes of Wrath,John Steinbeck
1521,Les Misérables,Victor Hugo
1522,Les Misérables,Victor Hugo
1523,The Sound and the Fury,William Faulkner
1524,Frankenstein,Mary Shelley
1525,Ulysses,James Joyce
1526,The Sun Also Rises,Ernest Hemingway
1527,The Divine Comedy,Dante Alighieri
1528,Wuthering Heights,Emily Brontë
1529,Brave New World,Aldous Huxley
1530,The Odyssey,Homer
1531,Fahrenheit 451,Ray Bradbury
1532,Anna Karenina,Leo Tolstoy
1533,The Stranger,Albert Camus
1534,Moby Dick,Herman Melville
1535,Wuthering Heights,Emily Brontë
1536,The Sun Also Rises,Ernest Hemingway
1537,Les Misérables,Victor Hugo
1538,The Stranger,Albert Camus
1539,The Catcher in the Rye,J.D. Salinger
1540,The Picture of Dorian Gray,Oscar Wilde
1541,Anna Karenina,Leo Tolstoy
1542,A Christmas Carol,Charles Dickens
1543,Gone with the Wind,Margaret Mitchell
1544,Moby Dick,Herman Melville
1545,Pride and Prejudice,Jane Austen
1546,The Secret Garden,Frances Hodgson Burnett
1547,Wuthering Heights,Emily Brontë
1548,The Catcher in the Rye,J.D. Salinger
1549,Pride and Prejudice,Jane Austen
1550,Catch-22,Joseph Heller
1551,Moby Dick,Herman Melville
1552,Wuthering Heights,Emily Brontë
1553,One Hundred Years of Solitude,Gabriel Garcia Marquez
1554,The Picture of Dorian Gray,Oscar Wilde
1555,The Picture of Dorian Gray,Oscar Wilde
1556,Frankenstein,Mary Shelley
1557,The Divine Comedy,Dante Alighieri
1558,Pride and Prejudice,Jane Austen
1559,The Grapes of Wrath,John Steinbeck
1560,The Sound and the Fury,William Faulkner
1561,Anna Karenina,Leo Tolstoy
1562,The Alchemist,Paulo Coelho
1563,The Divine Comedy,Dante Alighieri
1564,The Stranger,Albert Camus
1565,The Sun Also Rises,Ernest Hemingway
1566,A Tale of Two Cities,Charles Dickens
1567,The Picture of Dorian Gray,Oscar Wilde
1568,The Stranger,Albert Camus
1569,The Shining,Stephen King
1570,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1571,The Hobbit,J.R.R. Tolkien
1572,Anna Karenina,Leo Tolstoy
1573,The Sun Also Rises,Ernest Hemingway
1574,The Secret Garden,Frances Hodgson Burnett
1575,The Divine Comedy,Dante Alighieri
1576,Frankenstein,Mary Shelley
1577,The Picture of Dorian Gray,Oscar Wilde
1578,Don Quixote,Miguel de Cervantes
1579,Anna Karenina,Leo Tolstoy
1580,The Hobbit,J.R.R. Tolkien
1581,The Lord of the Rings,J.R.R. Tolkien
1582,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1583,Frankenstein,Mary Shelley
1584,The Grapes of Wrath,John Steinbeck
1585,Les Misérables,Victor Hugo
1586,A Tale of Two Cities,Charles Dickens
1587,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1588,The Brothers Karamazov,Fyodor Dostoevsky
1589,The Sound and the Fury,William Faulkner
1590,War and Peace,Leo Tolstoy
1591,The Alchemist,Paulo Coelho
1592,Ulysses,James Joyce
1593,Gone with the Wind,Margaret Mitchell
1594,The Hobbit,J.R.R. Tolkien
1595,A Tale of Two Cities,Charles Dickens
1596,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1597,Anna Karenina,Leo Tolstoy
1598,One Hundred Years of Solitude,Gabriel Garcia Marquez
1599,Gone with the Wind,Margaret Mitchell
1600,A Christmas Carol,Charles Dickens
1601,The Alchemist,Paulo Coelho
1602,The Divine Comedy,Dante Alighieri
1603,The Brothers Karamazov,Fyodor Dostoevsky
1604,Crime and Punishment,Fyodor Dostoevsky
1605,Anna Karenina,Leo Tolstoy
1606,Les Misérables,Victor Hugo
1607,The Grapes of Wrath,John Steinbeck
1608,The Catcher in the Rye,J.D. Salinger
1609,War and Peace,Leo Tolstoy
1610,The Shining,Stephen King
1611,The Divine Comedy,Dante Alighieri
1612,Frankenstein,Mary Shelley
1613,Les Misérables,Victor Hugo
1614,The Alchemist,Paulo Coelho
1615,Les Misérables,Victor Hugo
1616,The Sun Also Rises,Ernest Hemingway
1617,The Odyssey,Homer
1618,The Count of Monte Cristo,Alexandre Dumas
1619,Anna Karenina,Leo Tolstoy
1620,One Hundred Years of Solitude,Gabriel Garcia Marquez
1621,Don Quixote,Miguel de Cervantes
1622,The Stranger,Albert Camus
1623,Pride and Prejudice,Jane Austen
1624,A Tale of Two Cities,Charles Dickens
1625,A Tale of Two Cities,Charles Dickens
1626,The Stranger,Albert Camus
1627,Ulysses,James Joyce
1628,Wuthering Heights,Emily Brontë
1629,The Grapes of Wrath,John Steinbeck
1630,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1631,Dracula,Bram Stoker
1632,Jane Eyre,Charlotte Brontë
1633,Gone with the Wind,Margaret Mitchell
1634,War and Peace,Leo Tolstoy
1635,Gone with the Wind,Margaret Mitchell
1636,The Catcher in the Rye,J.D. Salinger
1637,The Sound and the Fury,William Faulkner
1638,Great Expectations,Charles Dickens
1639,Moby Dick,Herman Melville
1640,Ulysses,James Joyce
1641,The Brothers Karamazov,Fyodor Dostoevsky
1642,The Alchemist,Paulo Coelho
1643,Moby Dick,Herman Melville
1644,Catch-22,Joseph Heller
1645,Great Expectations,Charles Dickens
1646,The Catcher in the Rye,J.D. Salinger
1647,The Shining,Stephen King
1648,Ulysses,James Joyce
1649,Crime and Punishment,Fyodor Dostoevsky
1650,Dracula,Bram Stoker
1651,One Hundred Years of Solitude,Gabriel Garcia Marquez
1652,A Tale of Two Cities,Charles Dickens
1653,One Hundred Years of Solitude,Gabriel Garcia Marquez
1654,Great Expectations,Charles Dickens
1655,A Christmas Carol,Charles Dickens
1656,Fahrenheit 451,Ray Bradbury
1657,The Picture of Dorian Gray,Oscar Wilde
1658,The Shining,Stephen King
1659,Wuthering Heights,Emily Brontë
1660,Don Quixote,Miguel de Cervantes
1661,The Hobbit,J.R.R. Tolkien
1662,The Sun Also Rises,Ernest Hemingway
1663,Gone with the Wind,Margaret Mitchell
1664,A Christmas Carol,Charles Dickens
1665,Pride and Prejudice,Jane Austen
1666,The Hobbit,J.R.R. Tolkien
1667,Frankenstein,Mary Shelley
1668,Moby Dick,Herman Melville
1669,A Christmas Carol,Charles Dickens
1670,Brave New World,Aldous Huxley
1671,Dracula,Bram Stoker
1672,The Alchemist,Paulo Coelho
1673,The Catcher in the Rye,J.D. Salinger
1674,The Catcher in the Rye,J.D. Salinger
1675,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1676,The Lord of the Rings,J.R.R. Tolkien
1677,Don Quixote,Miguel de Cervantes
1678,Brave New World,Aldous Huxley
1679,Ulysses,James Joyce
1680,The Odyssey,Homer
1681,Fahrenheit 451,Ray Bradbury
1682,One Hundred Years of Solitude,Gabriel Garcia Marquez
1683,Ulysses,James Joyce
1684,The Secret Garden,Frances Hodgson Burnett
1685,Gone with the Wind,Margaret Mitchell
1686,The Alchemist,Paulo Coelho
1687,The Brothers Karamazov,Fyodor Dostoevsky
1688,The Picture of Dorian Gray,Oscar Wilde
1689,Anna Karenina,Leo Tolstoy
1690,Moby Dick,Herman Melville
1691,Les Misérables,Victor Hugo
1692,Pride and Prejudice,Jane Austen
1693,The Brothers Karamazov,Fyodor Dostoevsky
1694,The Shining,Stephen King
1695,The Stranger,Albert Camus
1696,Great Expectations,Charles Dickens
1697,The Lord of the Rings,J.R.R. Tolkien
1698,The Secret Garden,Frances Hodgson Burnett
1699,Brave New World,Aldous Huxley
1700,War and Peace,Leo Tolstoy
1701,The Grapes of Wrath,John Steinbeck
1702,The Secret Garden,Frances Hodgson Burnett
1703,Dracula,Bram Stoker
1704,The Sun Also Rises,Ernest Hemingway
1705,The Picture of Dorian Gray,Oscar Wilde
1706,Great Expectations,Charles Dickens
1707,Great Expectations,Charles Dickens
1708,The Odyssey,Homer
1709,Gone with the Wind,Margaret Mitchell
1710,The Brothers Karamazov,Fyodor Dostoevsky
1711,The Picture of Dorian Gray,Oscar Wilde
1712,The Shining,Stephen King
1713,The Shining,Stephen King
1714,The Stranger,Albert Camus
1715,One Hundred Years of Solitude,Gabriel Garcia Marquez
1716,Crime and Punishment,Fyodor Dostoevsky
1717,The Sound and the Fury,William Faulkner
1718,Ulysses,James Joyce
1719,A Christmas Carol,Charles Dickens
1720,Les Misérables,Victor Hugo
1721,Wuthering Heights,Emily Brontë
1722,The Brothers Karamazov,Fyodor Dostoevsky
1723,Gone with the Wind,Margaret Mitchell
1724,The Divine Comedy,Dante Alighieri
1725,Pride and Prejudice,Jane Austen
1726,Great Expectations,Charles Dickens
1727,The Brothers Karamazov,Fyodor Dostoevsky
1728,The Sun Also Rises,Ernest Hemingway
1729,The Divine Comedy,Dante Alighieri
1730,The Hobbit,J.R.R. Tolkien
1731,The Lord of the Rings,J.R.R. Tolkien
1732,The Grapes of Wrath,John Steinbeck
1733,The Catcher in the Rye,J.D. Salinger
1734,The Lord of the Rings,J.R.R. Tolkien
1735,The Grapes of Wrath,John Steinbeck
1736,Pride and Prejudice,Jane Austen
1737,The Alchemist,Paulo Coelho
1738,The Count of Monte Cristo,Alexandre Dumas
1739,The Hobbit,J.R.R. Tolkien
1740,Ulysses,James Joyce
1741,The Divine Comedy,Dante Alighieri
1742,The Alchemist,Paulo Coelho
1743,The Odyssey,Homer
1744,Wuthering Heights,Emily Brontë
1745,Jane Eyre,Charlotte Brontë
1746,The Secret Garden,Frances Hodgson Burnett
1747,Moby Dick,Herman Melville
1748,Anna Karenina,Leo Tolstoy
1749,The Picture of Dorian Gray,Oscar Wilde
1750,Great Expectations,Charles Dickens
1751,Wuthering Heights,Emily Brontë
1752,Catch-22,Joseph Heller
1753,Ulysses,James Joyce
1754,The Alchemist,Paulo Coelho
1755,The Divine Comedy,Dante Alighieri
1756,The Brothers Karamazov,Fyodor Dostoevsky
1757,Great Expectations,Charles Dickens
1758,The Odyssey,Homer
1759,Brave New World,Aldous Huxley
1760,Catch-22,Joseph Heller
1761,The Grapes of Wrath,John Steinbeck
1762,Moby Dick,Herman Melville
1763,The Shining,Stephen King
1764,Pride and Prejudice,Jane Austen
1765,Gone with the Wind,Margaret Mitchell
1766,Les Misérables,Victor Hugo
1767,The Sound and the Fury,William Faulkner
1768,Jane Eyre,Charlotte Brontë
1769,The Odyssey,Homer
1770,The Brothers Karamazov,Fyodor Dostoevsky
1771,Brave New World,Aldous Huxley
1772,Jane Eyre,Charlotte Brontë
1773,Anna Karenina,Leo Tolstoy
1774,One Hundred Years of Solitude,Gabriel Garcia Marquez
1775,Dracula,Bram Stoker
1776,Great Expectations,Charles Dickens
1777,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1778,The Alchemist,Paulo Coelho
1779,Ulysses,James Joyce
1780,A Tale of Two Cities,Charles Dickens
1781,The Secret Garden,Frances Hodgson Burnett
1782,Frankenstein,Mary Shelley
1783,The Sound and the Fury,William Faulkner
1784,A Christmas Carol,Charles Dickens
1785,The Sun Also Rises,Ernest Hemingway
1786,The Stranger,Albert Camus
1787,Jane Eyre,Charlotte Brontë
1788,The Brothers Karamazov,Fyodor Dostoevsky
1789,Don Quixote,Miguel de Cervantes
1790,The Alchemist,Paulo Coelho
1791,Catch-22,Joseph Heller
1792,The Count of Monte Cristo,Alexandre Dumas
1793,Brave New World,Aldous Huxley
1794,Crime and Punishment,Fyodor Dostoevsky
1795,Moby Dick,Herman Melville
1796,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1797,The Catcher in the Rye,J.D. Salinger
1798,The Picture of Dorian Gray,Oscar Wilde
1799,Les Misérables,Victor Hugo
1800,The Grapes of Wrath,John Steinbeck
1801,Ulysses,James Joyce
1802,The Count of Monte Cristo,Alexandre Dumas
1803,The Count of Monte Cristo,Alexandre Dumas
1804,A Christmas Carol,Charles Dickens
1805,The Picture of Dorian Gray,Oscar Wilde
1806,Fahrenheit 451,Ray Bradbury
1807,The Shining,Stephen King
1808,Great Expectations,Charles Dickens
1809,Ulysses,James Joyce
1810,Brave New World,Aldous Huxley
1811,Don Quixote,Miguel de Cervantes
1812,War and Peace,Leo Tolstoy
1813,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1814,Moby Dick,Herman Melville
1815,Fahrenheit 451,Ray Bradbury
1816,The Divine Comedy,Dante Alighieri
1817,The Hobbit,J.R.R. Tolkien
1818,The Hobbit,J.R.R. Tolkien
1819,Crime and Punishment,Fyodor Dostoevsky
1820,A Tale of Two Cities,Charles Dickens
1821,The Stranger,Albert Camus
1822,The Brothers Karamazov,Fyodor Dostoevsky
1823,Gone with the Wind,Margaret Mitchell
1824,The Stranger,Albert Camus
1825,A Christmas Carol,Charles Dickens
1826,The Sun Also Rises,Ernest Hemingway
1827,Wuthering Heights,Emily Brontë
1828,The Secret Garden,Frances Hodgson Burnett
1829,The Catcher in the Rye,J.D. Salinger
1830,Pride and Prejudice,Jane Austen
1831,The Divine Comedy,Dante Alighieri
1832,The Sound and the Fury,William Faulkner
1833,The Hobbit,J.R.R. Tolkien
1834,Brave New World,Aldous Huxley
1835,The Secret Garden,Frances Hodgson Burnett
1836,Gone with the Wind,Margaret Mitchell
1837,The Count of Monte Cristo,Alexandre Dumas
1838,The Odyssey,Homer
1839,Fahrenheit 451,Ray Bradbury
1840,The Hobbit,J.R.R. Tolkien
1841,Fahrenheit 451,Ray Bradbury
1842,Catch-22,Joseph Heller
1843,Anna Karenina,Leo Tolstoy
1844,War and Peace,Leo Tolstoy
1845,War and Peace,Leo Tolstoy
1846,Moby Dick,Herman Melville
1847,The Sun Also Rises,Ernest Hemingway
1848,Great Expectations,Charles Dickens
1849,Moby Dick,Herman Melville
1850,Frankenstein,Mary Shelley
1851,Ulysses,James Joyce
1852,The Alchemist,Paulo Coelho
1853,The Lord of the Rings,J.R.R. Tolkien
1854,Fahrenheit 451,Ray Bradbury
1855,Ulysses,James Joyce
1856,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1857,One Hundred Years of Solitude,Gabriel Garcia Marquez
1858,Frankenstein,Mary Shelley
1859,The Count of Monte Cristo,Alexandre Dumas
1860,Gone with the Wind,Margaret Mitchell
1861,Moby Dick,Herman Melville
1862,Les Misérables,Victor Hugo
1863,Frankenstein,Mary Shelley
1864,The Brothers Karamazov,Fyodor Dostoevsky
1865,Anna Karenina,Leo Tolstoy
1866,Les Misérables,Victor Hugo
1867,A Christmas Carol,Charles Dickens
1868,A Christmas Carol,Charles Dickens
1869,The Catcher in the Rye,J.D. Salinger
1870,The Catcher in the Rye,J.D. Salinger
1871,The Sound and the Fury,William Faulkner
1872,The Catcher in the Rye,J.D. Salinger
1873,Anna Karenina,Leo Tolstoy
1874,The Catcher in the Rye,J.D. Salinger
1875,Pride and Prejudice,Jane Austen
1876,The Secret Garden,Frances Hodgson Burnett
1877,Moby Dick,Herman Melville
1878,The Brothers Karamazov,Fyodor Dostoevsky
1879,Anna Karenina,Leo Tolstoy
1880,The Count of Monte Cristo,Alexandre Dumas
1881,Crime and Punishment,Fyodor Dostoevsky
1882,The Sound and the Fury,William Faulkner
1883,The Sun Also Rises,Ernest Hemingway
1884,The Odyssey,Homer
1885,Anna Karenina,Leo Tolstoy
1886,Don Quixote,Miguel de Cervantes
1887,The Sound and the Fury,William Faulkner
1888,Crime and Punishment,Fyodor Dostoevsky
1889,Les Misérables,Victor Hugo
1890,The Hobbit,J.R.R. Tolkien
1891,The Count of Monte Cristo,Alexandre Dumas
1892,Brave New World,Aldous Huxley
1893,Jane Eyre,Charlotte Brontë
1894,Brave New World,Aldous Huxley
1895,The Secret Garden,Frances Hodgson Burnett
1896,One Hundred Years of Solitude,Gabriel Garcia Marquez
1897,A Tale of Two Cities,Charles Dickens
1898,Great Expectations,Charles Dickens
1899,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1900,The Lord of the Rings,J.R.R. Tolkien
1901,The Picture of Dorian Gray,Oscar Wilde
1902,A Tale of Two Cities,Charles Dickens
1903,Great Expectations,Charles Dickens
1904,The Catcher in the Rye,J.D. Salinger
1905,One Hundred Years of Solitude,Gabriel Garcia Marquez
1906,The Secret Garden,Frances Hodgson Burnett
1907,The Grapes of Wrath,John Steinbeck
1908,Catch-22,Joseph Heller
1909,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1910,The Shining,Stephen King
1911,The Divine Comedy,Dante Alighieri
1912,The Count of Monte Cristo,Alexandre Dumas
1913,Les Misérables,Victor Hugo
1914,Great Expectations,Charles Dickens
1915,Crime and Punishment,Fyodor Dostoevsky
1916,A Tale of Two Cities,Charles Dickens
1917,Frankenstein,Mary Shelley
1918,Ulysses,James Joyce
1919,The Secret Garden,Frances Hodgson Burnett
1920,The Shining,Stephen King
1921,A Christmas Carol,Charles Dickens
1922,Les Misérables,Victor Hugo
1923,Catch-22,Joseph Heller
1924,The Alchemist,Paulo Coelho
1925,Moby Dick,Herman Melville
1926,Crime and Punishment,Fyodor Dostoevsky
1927,The Brothers Karamazov,Fyodor Dostoevsky
1928,The Grapes of Wrath,John Steinbeck
1929,A Christmas Carol,Charles Dickens
1930,The Count of Monte Cristo,Alexandre Dumas
1931,Frankenstein,Mary Shelley
1932,Crime and Punishment,Fyodor Dostoevsky
1933,The Odyssey,Homer
1934,The Divine Comedy,Dante Alighieri
1935,One Hundred Years of Solitude,Gabriel Garcia Marquez
1936,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1937,The Secret Garden,Frances Hodgson Burnett
1938,The Alchemist,Paulo Coelho
1939,A Tale of Two Cities,Charles Dickens
1940,Brave New World,Aldous Huxley
1941,The Hitchhiker's Guide to the Galaxy,Douglas Adams
1942,The Alchemist,Paulo Coelho
1943,Moby Dick,Herman Melville
1944,The Count of Monte Cristo,Alexandre Dumas
1945,The Sun Also Rises,Ernest Hemingway
1946,The Divine Comedy,Dante Alighieri
1947,The Catcher in the Rye,J.D. Salinger
1948,Dracula,Bram Stoker
1949,The Odyssey,Homer
1950,Ulysses,James Joyce
1951,The Picture of Dorian Gray,Oscar Wilde
1952,Fahrenheit 451,Ray Bradbury
1953,War and Peace,Leo Tolstoy
1954,The Sun Also Rises,Ernest Hemingway
1955,Pride and Prejudice,Jane Austen
1956,The Shining,Stephen King
1957,Brave New World,Aldous Huxley
1958,Don Quixote,Miguel de Cervantes
1959,The Secret Garden,Frances Hodgson Burnett
1960,Frankenstein,Mary Shelley
1961,The Sound and the Fury,William Faulkner
1962,A Tale of Two Cities,Charles Dickens
1963,The Shining,Stephen King
1964,The Catcher in the Rye,J.D. Salinger
1965,The Alchemist,Paulo Coelho
1966,A Tale of Two Cities,Charles Dickens
1967,The Stranger,Albert Camus
1968,Ulysses,James Joyce
1969,War and Peace,Leo Tolstoy
1970,The Stranger,Albert Camus
1971,Dracula,Bram Stoker
1972,Dracula,Bram Stoker
1973,The Alchemist,Paulo Coelho
1974,Wuthering Heights,Emily Brontë
1975,Catch-22,Joseph Heller
1976,Anna Karenina,Leo Tolstoy
1977,A Christmas Carol,Charles Dickens
1978,Don Quixote,Miguel de Cervantes
1979,The Odyssey,Homer
1980,War and Peace,Leo Tolstoy
1981,The Picture of Dorian Gray,Oscar Wilde
1982,The Brothers Karamazov,Fyodor Dostoevsky
1983,The Odyssey,Homer
1984,Don Quixote,Miguel de Cervantes
1985,The Lord of the Rings,J.R.R. Tolkien
1986,The Sound and the Fury,William Faulkner
1987,The Stranger,Albert Camus
1988,The Picture of Dorian Gray,Oscar Wilde
1989,The Hobbit,J.R.R. Tolkien
1990,A Christmas Carol,Charles Dickens
1991,Frankenstein,Mary Shelley
1992,Moby Dick,Herman Melville
1993,Gone with the Wind,Margaret Mitchell
1994,A Christmas Carol,Charles Dickens
1995,Fahrenheit 451,Ray Bradbury
1996,Fahrenheit 451,Ray Bradbury
1997,Wuthering Heights,Emily Brontë
1998,Wuthering Heights,Emily Brontë
1999,A Christmas Carol,Charles Dickens
2000,Dracula,Bram Stoker
2001,Pride and Prejudice,Jane Austen
2002,Pride and Prejudice,Jane Austen
2003,The Odyssey,Homer
